"index","Job Title","Company Name","Company Star Rating","Company Location","Required Skills","URL"
1,Business Data Analyst,RideCo,4.0,Waterloo,"SQL, Tableau, Excel, Microsoft office",https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c31f2bf8&cb=1647444132253&jobListingId=1007697424013&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-62322f5093cc993d-
2,Business Intelligence Data Analyst,Compugen Inc,3.6,Winnipeg,"Azure, Excel",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ed8b31cd&cb=1647444132250&jobListingId=1007717602915&cpc=3DB599BF2F4828F0&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-ed1608538cafdcc5--6NYlbfkN0DR4GiK6CUKhkGG-NaBlbw_pIURb9Jhix8hN__aZXgF690rqjQVLwR7dLFOy-6ZHv1lddwgf4LGUWhOSt8OppKrKmoof3IGnf2y_hcqJuy273WBnU13AOZ5veogXGE11-2v83eodMAaj1nzaWpWkZbAtw5usOkHoQVgCRHFXAqvC6w7nezJduO5jkXLINhY72JDPoRl5BnqvLxzYaj33r8b2SXW_6mlhIzeg6GIaPdZpVnkKBBnBOCXALDmfM5r_TbJ551aqLrmoWR-uN8aDtzlfFlOIVLuNE1NNlH6SKT6m5kEPoPXDYuX7b-rCT0RbmIv5gmXQ45MUNJfvS-6yQ9ZLBkXGQMeK3k-iBUz7Iglz04q-dQbabhKqCK9HpRaDfFfhJfdwX6n53g53yO14Nve-Th04maRUPpEIscME5u7gbcjJLkmLrcLtinAlFe-zleZnYvPwCdUSMOkewY8Gkn7I7l4-iAYotMQx_6xE4Z11hbH5PYQSA3L2IDKfF293YRdPrUQfKAkIMa0EWoUKbLpMRfhNh0dFDcN-CJy9-iq9s3ZxkdvLwaG4ZwRllFY0yl-omHY4IN3gM-eg00qLY51WS7Dg03sZZgZfvBavjFtLonMwqT8N9ItEXu0dGivsPs%3D
3,Business Intelligence Analyst,Flipp,4.0,Toronto,"SQL, Tableau",https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_52014251&cb=1647444132251&jobListingId=1007677750316&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-e8bb302a46b01c57-
4,Business Intelligence Analyst,Traffic Tech Inc.,3.2,Mississauga,"SQL, Power BI, Excel, VB, VBA",https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_38b77361&cb=1647444132251&jobListingId=1007714454006&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-421bd4972ed76149-
5,Business Intelligence (BI) Developer & Data Visualization Analyst,J.D. Power,3.7,London,"Java, SQL, Tableau, Power BI, Excel, MS office, VB, VBA",https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_9a62e415&cb=1647444132253&jobListingId=1007702651982&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-bbab82e19a65783c-
6,Senior Business Intelligence Analyst (Remote),LRO Staffing,5.0,Ottawa,"Python, Spark, SQL",https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_db10a0a2&cb=1647444132250&jobListingId=1007705704646&cpc=8795CF9063CD573D&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-4ecb42ae3e79590c--6NYlbfkN0CP3Q_UPKr9FJMWPQxO7lgr5k1WEZA9Z4Y9-bUlhLIRSW5wgtRqn23_IOxUa6RFXnQ5d4URWiKqvdilTbzHZPyYqHCIrQgr2gMRV1W9R2dpiY1mfQxcpjVUOqFyKIVmyeH6TR-UZHzldeCDgRtgJiKG3l-lFAerU2vaqtRtJ8_9aQ7eSKxz-OYiVcn_5VH-YIr2sTEtqVcFBVeTPm8d8t38YFOMUNlI3RFoKcqnAo60L4e3hnanJrMx44tJdRNOk33I16tjNpH6jlcGi4EnSbStzU4oCAG3raEDxUb8H3bwUyTDTER8Wx5eYsrNiHDOQG2nE0Kae3_9Qq0EQ7eb7YjIBM6E9mpvCAMrZ-GDsks4q2gx1kCEn0MCa62Eo4-__iMBgVS8OTbV5TPa9Z1IZ-5Kb3lu1_kKumKSGBULKlBnkOHYjStNrORFybg1GSX8iUOtiTNb1k77zfpkrPL9xcV3XI80-GIIpr0vq0SnqCbd0XCAXhko5jHANrMBkGjDmRgiBvh3mrcixuYWmu6-Aa1n
7,SENIOR ANALYST BUSINESS INTELLIGENCE,Allstate Canada,3.5,Markham,"SQL, Tableau, Excel, PowerPoint, VB, VBA",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_ebb50c31&cb=1647444132250&jobListingId=1007576602920&cpc=2CAED5C921A5F994&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-a1cc8301691b7115--6NYlbfkN0CW81yLmMX0jZhkp9wi2Zzr1m-t1jAbw6FN9Wv5HozWh7YTGVpQTbBn37kFSHqynfMRlNQUFiDPlg-oYaDeKOVTtZoxByoKvzDElJ8ebzKHDtzTankOpywaXCbc34NUhwcjhJIDOJalizGtIRu_1UhQwZZneUEwqT5ee9PXdcP5g6Om6Vb9FamGz7Gfyb0Unvkv4SYGuRDgQSG5RoI-veWdO09-QaH2D9BqGXlk_XA-iGkH3mNPE7enYhjGbw63SEhMIUMc-tA5NpD_mv_2aRFqqlfA-qY3cwXgEojEM-1pUtI8WOGy6f6x881H4KuGuHZ8sKKDGSYrX_Sih3BmgBwSwNtcRfFDU8aEVgaQ_b8iMaO1bibgCG3uzE65Tiwqcsge9Nf8k20y4nZHrhf7A3w7KmJNMeH92-P7aqU0PoLs4DD6pWvh2DnSdAwYzfgthiaLwlBLF-KizA%3D%3D
8,Business Intelligence Analyst - Edmonton,Gateway Mechanical Services,3.7,Edmonton,"SQL, Power BI, Excel, Microsoft office, VB, VBA",https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9f253d93&cb=1647444132252&jobListingId=1007715692116&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-a66f1ef03e4717f3-
9,"Business Intelligence Analyst, Payment Onboarding",Square,4.3,Toronto,"Python, SQL",https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_ccccdb4c&cb=1647444132253&jobListingId=1007691564034&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-27538253846fb07a-
10,"Business Intelligence Analyst, Data and Analytics, Google Cloud",Google,4.5,Waterloo,"Python, Pandas, SQL, Tableau, Excel",https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_d3b0eb6c&cb=1647444132252&jobListingId=1007672182094&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-4d09017e5bb3cacf-
